questions asked,auc
126,0.88
131,0.8400000000000001
136,0.8400000000000001
141,0.8
146,0.82
151,0.76
156,0.76
161,0.76
166,0.76
171,0.78
176,0.76
181,0.76
186,0.76
191,0.76
196,0.76
201,0.76
206,0.76
1,0.8
6,0.56
11,0.44
16,0.2
21,0.6799999999999999
26,1.0
31,0.96
36,1.0
41,1.0
46,1.0
51,1.0
56,1.0
61,1.0
66,1.0
71,1.0
76,1.0
81,1.0
86,1.0
91,1.0
96,1.0
101,1.0
106,1.0
111,1.0
116,1.0
121,1.0
126,1.0
131,1.0
136,1.0
141,1.0
146,1.0
151,1.0
156,1.0
161,1.0
166,1.0
171,1.0
176,1.0
181,1.0
186,1.0
191,1.0
196,1.0
201,1.0
206,1.0
