,random_diss,qsampled_diss,qsampled_diss_pos,m2_diss,m2_diss_pos,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp
36,0.45643555376117356,0.4330386903826975,0.4853905935759681,0.3370252885993503,0.30178476185007924,0.42752461100522665,1,2,3,4
37,0.45357615888091335,0.43733003226320777,0.5010520004977308,0.33520901048079815,0.30301336375824883,0.41870130584827386,1,1,2,3
38,0.43450182538302573,0.4139575266378097,0.4684796526518009,0.33088404943431515,0.30610315676882405,0.40369063253784426,1,3,2,4
39,0.4499549988218951,0.42212042371209846,0.46218417934355693,0.33780260904590487,0.30032357580700575,0.4147649016051532,1,3,3,2
40,0.4632839487912524,0.4268500880623869,0.46591354039668836,0.3429197544954381,0.3014075415136296,0.4269085080975386,4,1,3,5
41,0.46668897793175085,0.4214463054527511,0.47249314065748765,0.3239755484942045,0.29216764296822323,0.43179261735208385,2,1,3,4
42,0.4554881418111639,0.423647589449912,0.4831877123466107,0.31931294280541256,0.29639282788682786,0.42882520613726155,2,5,1,5
43,0.4588607857410791,0.42208831603089936,0.47553431780161703,0.3199657051203731,0.29219907525383076,0.43618225855916337,1,4,4,5
44,0.4476149767895792,0.4108720761542406,0.47403104010202934,0.3112968951006205,0.3020580038548039,0.4401618737280608,1,3,4,5
45,0.44858430134230354,0.4063251397183924,0.4637260174911157,0.30846950251614386,0.29549152551013425,0.4449387738456072,5,1,1,3
46,0.453588527681343,0.3976894569545509,0.4692558283507713,0.3021101899929442,0.3041789807250309,0.45576162062022496,2,1,1,5
47,0.4440884202031079,0.3996336635882538,0.4643717442491779,0.28880852084465397,0.30336918521037454,0.45790143055659566,1,4,4,2
48,0.4156567308692237,0.38932604744764554,0.4566297334492091,0.26484510904595293,0.30625569334776337,0.4368715798686308,3,4,3,4
49,0.4205617664428457,0.37564709674509345,0.4634206621871876,0.25832460828930803,0.2956122668973703,0.4260050081807488,1,3,3,3
50,0.41508989561111204,0.37389649119567475,0.4401653480469996,0.2585739473492568,0.2758782962894977,0.43334532090090233,1,1,1,4
51,0.42203262316412904,0.3762855108222697,0.4361944358165265,0.2578285699935551,0.27278112134010946,0.4362555579592839,4,4,2,4
52,0.414069743481787,0.37807942993824906,0.44378150545837364,0.25292562386121864,0.268512263254141,0.4280070236894389,1,2,3,3
53,0.4171215761311217,0.3750076367206563,0.4291280290242763,0.250603757986661,0.2563399641826952,0.4366282613841292,2,1,1,4
54,0.4259733343382494,0.38184083820367315,0.42050167754339074,0.2521815508804088,0.25545259849789,0.4409780058303498,2,3,2,4
55,0.4323342989326465,0.3850092454015219,0.4287821028890368,0.2356536034944039,0.25107927205444697,0.4237826170092184,1,1,3,3
56,0.4395248257346057,0.3783129647231183,0.41997176478431847,0.24714527974687986,0.24809374962143602,0.43189917391645105,5,4,4,4
57,0.4387381190433022,0.3739692051012962,0.42536259813295996,0.24997169392578045,0.2393523710529116,0.42136411929473794,1,2,5,3
58,0.43238235824201776,0.3682782494674358,0.4229029668614417,0.25011242626822594,0.23529555120455717,0.4146534034044544,1,3,4,3
59,0.4365075927269666,0.3648188344448237,0.4179359612322173,0.26141284499265016,0.2438564536733708,0.4211733316484379,4,3,5,4
60,0.4437387128784777,0.37388485674321525,0.42747799465464,0.2613789046414659,0.23985880689184014,0.41773609517571614,4,1,5,4
61,0.45186472897041247,0.3678042628230434,0.42068731006087356,0.2580140882217942,0.25333178499881476,0.4172664199860003,2,2,1,3
62,0.44911662150446063,0.37523323018601307,0.42846747155679205,0.2529626137713938,0.2323499654359007,0.4203692166149003,2,1,1,1
63,0.4558089132830308,0.376902262246408,0.42245231551192297,0.2562483760758586,0.23832672253615167,0.4139920636821189,4,1,1,3
64,0.45202209065226373,0.3829496712572086,0.42277095327599784,0.26420461940675316,0.2476368944729236,0.41887394981891796,4,4,2,3
65,0.455713784084195,0.3822151342838046,0.41894861688168666,0.2684468814554368,0.25060230722425114,0.427434538803916,3,3,2,4
66,0.4620253724198311,0.3815554734958825,0.42383306835672024,0.2629589746247603,0.25608451396918464,0.4352868821755771,2,4,1,3
