Source,Target
ptsd181,ptsd149
ptsd129,ptsd149
ptsd35,ptsd149
ptsd23,ptsd150
ptsd82,ptsd150
ptsd112,ptsd151
ptsd41,ptsd151
ptsd7,ptsd151
ptsd56,ptsd151
ptsd157,ptsd152
ptsd195,ptsd152
ptsd98,ptsd153
ptsd148,ptsd153
ptsd133,ptsd154
ptsd174,ptsd155
ptsd166,ptsd155
ptsd96,ptsd156
ptsd44,ptsd156
ptsd7,ptsd157
ptsd49,ptsd158
ptsd41,ptsd159
ptsd12,ptsd160
ptsd4,ptsd160
ptsd32,ptsd161
ptsd20,ptsd162
ptsd77,ptsd162
ptsd5,ptsd163
ptsd45,ptsd163
ptsd177,ptsd164
ptsd208,ptsd164
ptsd178,ptsd165
ptsd106,ptsd165
ptsd87,ptsd166
ptsd144,ptsd166
ptsd178,ptsd167
ptsd9,ptsd167
ptsd114,ptsd168
ptsd35,ptsd169
ptsd199,ptsd170
ptsd173,ptsd170
ptsd128,ptsd171
ptsd116,ptsd172
ptsd26,ptsd173
ptsd167,ptsd174
ptsd211,ptsd174
ptsd4,ptsd174
ptsd202,ptsd175
ptsd172,ptsd175
ptsd178,ptsd175
ptsd180,ptsd175
ptsd181,ptsd176
ptsd174,ptsd176
ptsd164,ptsd177
ptsd208,ptsd177
ptsd89,ptsd178
ptsd179,ptsd178
ptsd4,ptsd178
ptsd150,ptsd179
ptsd211,ptsd179
ptsd179,ptsd180
ptsd12,ptsd180
ptsd126,ptsd180
ptsd3,ptsd181
ptsd183,ptsd181
ptsd73,ptsd182
ptsd132,ptsd182
ptsd182,ptsd183
ptsd202,ptsd185
ptsd203,ptsd185
ptsd188,ptsd186
ptsd140,ptsd187
ptsd211,ptsd187
ptsd159,ptsd187
ptsd204,ptsd188
ptsd166,ptsd188
ptsd182,ptsd189
ptsd161,ptsd189
ptsd66,ptsd189
ptsd78,ptsd190
ptsd161,ptsd190
ptsd42,ptsd191
ptsd178,ptsd191
ptsd179,ptsd192
ptsd78,ptsd192
ptsd186,ptsd193
ptsd111,ptsd193
ptsd117,ptsd194
ptsd202,ptsd195
ptsd175,ptsd195
ptsd156,ptsd196
ptsd51,ptsd196
ptsd198,ptsd197
ptsd49,ptsd197
ptsd197,ptsd198
ptsd134,ptsd198
ptsd43,ptsd199
ptsd187,ptsd200
ptsd88,ptsd201
ptsd175,ptsd202
ptsd174,ptsd202
ptsd211,ptsd202
ptsd131,ptsd203
ptsd37,ptsd204
ptsd170,ptsd204
ptsd51,ptsd205
ptsd93,ptsd206
ptsd164,ptsd207
ptsd66,ptsd207
ptsd91,ptsd208
ptsd67,ptsd208
ptsd208,ptsd209
ptsd174,ptsd209
ptsd71,ptsd209
ptsd100,ptsd210
ptsd8,ptsd210
ptsd104,ptsd211
ptsd120,ptsd211
ptsd7,ptsd211
