variable,questions,mean,var,lower,upper
qsampled,52,0.2720209974632744,0.12801950956324115,0.2651436644793443,0.2788983304472044
runif,52,0.45305510983515335,0.15330064969394908,0.44552928734496144,0.46058093232534525
m2,52,0.3433120048687282,0.1439278712347208,0.3360198745095937,0.3506041352278627
actual,52,0.2625223037888302,0.12250370091438416,0.2583402907581207,0.26670431681953977
qsampled,53,0.2749255096740812,0.1299059265133732,0.26806337498258986,0.2817876443655724
runif,53,0.4537025040202224,0.1532383500703614,0.4462495491837232,0.4611554588567213
m2,53,0.3468953600132403,0.14528494428422478,0.33963839446257926,0.3541523255639013
actual,53,0.26764910298902916,0.1253844550341634,0.26344352635218504,0.2718546796258733
qsampled,54,0.2784008168627896,0.13101812933392645,0.2715734916691058,0.2852281420564734
runif,54,0.45476382222606304,0.15365284281515082,0.44737023514978047,0.4621574093023455
m2,54,0.34895949614196653,0.14581872845904942,0.34175685884479207,0.35616213343914077
actual,54,0.26750177514502116,0.12524415085388815,0.2633129095638329,0.2716906407262094
qsampled,55,0.2770871403827837,0.13085606246652218,0.27032636564201956,0.28384791512354773
runif,55,0.4549542860870422,0.15414298570519555,0.44761656118615306,0.4622920109879311
m2,55,0.34728756873808053,0.14584524950206004,0.34015007589130164,0.3544250615848594
actual,55,0.2669518590634265,0.12500371314563044,0.26278091164215056,0.27112280648470244
qsampled,56,0.27323949027487665,0.13010628022267634,0.26655858752529604,0.27992039302445715
runif,56,0.4492439061915775,0.1544423940194459,0.44196494703826317,0.4565228653448916
m2,56,0.3428948116332557,0.14553587479875113,0.3358288536579829,0.3499607696085284
actual,56,0.26511109670765404,0.12459930479276532,0.26097652862162213,0.26924566479368583
qsampled,57,0.2755178354896455,0.13228826720456988,0.2688405115516124,0.2821951594276784
runif,57,0.4528118965129876,0.15681909943916128,0.4455417818658647,0.46008201116011027
m2,57,0.3447198361354939,0.14763277564404098,0.3376658731844901,0.3517737990864978
actual,57,0.26864512269492213,0.12718808389032177,0.26448995087034405,0.2728002945195002
qsampled,58,0.2748571309070131,0.13228524586935317,0.26823770809822395,0.2814765537158021
runif,58,0.4526213047758253,0.15721106264817164,0.44540514784515345,0.4598374617064969
m2,58,0.34386416497955286,0.14810701830831785,0.33686006660791923,0.35086826335118626
actual,58,0.2684767275142156,0.12712756911820997,0.26432533066283664,0.2726281243655944
qsampled,59,0.2744296602753072,0.13147726750327804,0.2678866594491882,0.28097266110142616
runif,59,0.4497902811201487,0.1563617638611759,0.4426549041749485,0.45692565806534885
m2,59,0.3424119218134895,0.14711372944880038,0.33549077211074585,0.34933307151623305
actual,59,0.2682234701980641,0.1268691394435487,0.2640838845801822,0.27236305581594594
qsampled,60,0.2739387633405791,0.13263833221617793,0.26742194215539294,0.28045558452576524
runif,60,0.4527383167337719,0.157849811785168,0.44562907449499956,0.45984755897254415
m2,60,0.3432608121178456,0.14945847219199884,0.3363431149286276,0.35017850930706357
actual,60,0.2647012427965351,0.12800805125270182,0.26067143210487104,0.2687310534881991
qsampled,61,0.27449232592350004,0.13221444468567994,0.26803948854484577,0.2809451633021543
runif,61,0.45236554670666473,0.1574210433751842,0.44532441187111643,0.45940668154221315
m2,61,0.34303546200727636,0.14872897496625964,0.3361914768321574,0.34987944718239533
actual,61,0.2647013228862987,0.1276476443440175,0.2606915312179841,0.26871111455461333
qsampled,62,0.27164961627383816,0.13053917958391928,0.2652897192355942,0.2780095133120821
runif,62,0.4530345441393885,0.15735976471068297,0.4460517941289211,0.4600172941498561
m2,62,0.33982296547513763,0.14746557806356392,0.33306330357651337,0.3465826273737619
actual,62,0.2643399512082779,0.12726157254074633,0.26036589247654945,0.26831400994000615
qsampled,63,0.27002510791521517,0.1298474442275543,0.26373263658809526,0.27631757924233497
runif,63,0.45181049147121133,0.1573253857832963,0.4448841492599764,0.4587368336824463
m2,63,0.33743234315352844,0.14696368350515196,0.33073797555260176,0.34412671075445533
actual,63,0.2630811863534618,0.12658943335569328,0.25914732550682257,0.267015047200101
qsampled,64,0.2696647526819239,0.12977640273309632,0.2634233522890655,0.27590615307478233
runif,64,0.45026301966807736,0.1578712495438526,0.4433791014650551,0.4571469378710995
m2,64,0.33494344413507976,0.14664234250793814,0.32830885744940613,0.3415780308207534
actual,64,0.2621412366291212,0.12629543617377434,0.25824271691109346,0.2660397563471488
qsampled,65,0.26999754195252695,0.12765574620573858,0.2638551568836458,0.2761399270214081
runif,65,0.4563765700744593,0.15781884797270734,0.44954695402187045,0.46320618612704817
m2,65,0.33679671480164886,0.14598609826504602,0.330228117985093,0.3433653116182047
actual,65,0.267845131939293,0.13129187018432495,0.2640016468070501,0.27168861707153574
qsampled,66,0.27035985717803124,0.12692524200565364,0.2642816576485444,0.2764380567075182
runif,66,0.4557992691530921,0.15716267112769583,0.4490357043842294,0.4625628339219548
m2,66,0.3368532387184369,0.14473654415599738,0.3303625609057476,0.34334391653112634
actual,66,0.2680030035606317,0.13017472764161883,0.2642134574305784,0.27179254969068495
qsampled,67,0.270700294360183,0.1269884540985293,0.2646661312898034,0.27673445743056274
runif,67,0.45523122691935514,0.15697590725533972,0.4485223252693092,0.4619401285694011
m2,67,0.3361531009250141,0.14451799636928991,0.3297159174114475,0.3425902844385805
actual,67,0.2675965795143786,0.1299275202994401,0.2638404483640857,0.27135271066467137
qsampled,68,0.26856089777983205,0.1267511132525895,0.2625768757507935,0.2745449198088706
runif,68,0.45577248398165854,0.15742458083364308,0.4491035938094607,0.4624413741538564
m2,68,0.3335604992810106,0.14450476617631175,0.327171124279873,0.33994987428214823
actual,68,0.266946647216025,0.12986936246760622,0.26320361019741845,0.27068968423463147
qsampled,69,0.2724977068600443,0.12855974487072153,0.2665149804356482,0.27848043328444044
runif,69,0.45841447003237124,0.15789484631026446,0.45178420909622674,0.46504473096851573
m2,69,0.3385450532056761,0.14613481933743777,0.3321664806990077,0.34492362571234453
actual,69,0.2671808255219083,0.12983814369798805,0.2634539050220562,0.27090774602176043
qsampled,70,0.2689596359262195,0.1280405438632563,0.2630318108542101,0.2748874609982289
runif,70,0.4567447217614159,0.15895106730883163,0.45014001791963854,0.4633494256031929
m2,70,0.33520048668276936,0.14581630416442962,0.3288745525234994,0.34152642084203944
actual,70,0.2535269296931646,0.12724870777107133,0.24995699305138902,0.25709686633494006
qsampled,71,0.2683768448107968,0.1279948695445537,0.26249197008932296,0.2742617195322706
runif,71,0.45707442247040975,0.1589766441357518,0.4505158759486574,0.4636329689921619
m2,71,0.3335512429196578,0.1456224942732167,0.32727419890897125,0.3398282869303443
actual,71,0.25219973365815834,0.12709290280733399,0.24866110927032276,0.25573835804599393
qsampled,72,0.2665536213592124,0.12736004304814877,0.26072427377788343,0.27238296894054126
runif,72,0.45313399234163265,0.1586759145592928,0.44662732119162946,0.45964066349163574
m2,72,0.3314732678900753,0.144799588686515,0.3252576112304912,0.33768892454965943
actual,72,0.2495118501302825,0.12616022969236224,0.24601141590203365,0.2530122843585312
qsampled,73,0.2683958925781996,0.12793496849189862,0.26259356419571334,0.2741982209606859
runif,73,0.45376738081909085,0.15849049545549332,0.4473092136528512,0.4602255479853307
m2,73,0.33338030774015387,0.14509564027014388,0.3272010707423956,0.3395595447379121
actual,73,0.25079239934059017,0.12680730103609328,0.24729614594351246,0.25428865273766776
qsampled,74,0.26826441043844573,0.12711183533446185,0.2625199962125369,0.27400882466435444
runif,74,0.4534810935151278,0.157483544979709,0.4470871271780652,0.45987505985219024
m2,74,0.33404101533133723,0.1441689291337346,0.32792330949374565,0.3401587211689288
actual,74,0.2507094926082292,0.12662606209036206,0.2472240812458431,0.25419490397061534
qsampled,75,0.2661020089726905,0.12413590713612233,0.26046321508949866,0.2717408028558823
runif,75,0.4499170403571857,0.15557729018747327,0.4436044063555156,0.4562296743588558
m2,75,0.3280308742427118,0.13955798411959552,0.32205206286086324,0.3340096856245606
actual,75,0.24482098081302378,0.12074065211836069,0.24146940257498647,0.24817255905106092
qsampled,76,0.2657468241255294,0.12342170349696568,0.2601613936363023,0.2713322546147565
runif,76,0.44850749413533847,0.15480251729374658,0.4422521689365753,0.4547628193341016
m2,76,0.32681023505984574,0.13872514869539124,0.320888643037043,0.3327318270826486
actual,76,0.24446952735494276,0.12016524876460444,0.241143817838018,0.24779523687186752
qsampled,77,0.2678859223468701,0.12463065556925106,0.2623097741524199,0.27346207054132016
runif,77,0.4506543973758841,0.155585418272346,0.4444241353318784,0.45688465941988965
m2,77,0.32845811389912777,0.1397870287801079,0.32255263251945987,0.33436359527879567
actual,77,0.24494682655401717,0.12035525271707971,0.241629992363835,0.24826366074419934
qsampled,78,0.2689936065101325,0.12590597486708643,0.2634250496175492,0.27456216340271566
runif,78,0.4524074671494358,0.15633373100710948,0.4462024092615865,0.458612525037285
m2,78,0.3280532021824723,0.14050893528444267,0.32217057314256137,0.33393583122238324
actual,78,0.24478620148423166,0.12033836858391893,0.24147263415334802,0.24809976881511514
qsampled,79,0.2700472299310538,0.12557792125840428,0.2645212479425945,0.27557321191951306
runif,79,0.4523692290719829,0.1555549980360584,0.4462189502483271,0.4585195078956386
m2,79,0.3287929705443134,0.13988209818048503,0.32296075066133245,0.3346251904272942
actual,79,0.24609377115522482,0.11998096406350774,0.2428079544940018,0.24937958781644773
qsampled,80,0.269734498752318,0.12501116147366212,0.264255573803134,0.2752134237015018
runif,80,0.45183099301892793,0.1547892118650419,0.44573434249476507,0.4579276435430907
m2,80,0.3289837049642335,0.13918096579283276,0.3232025996728597,0.33476481025560745
actual,80,0.24634100444697826,0.11980168366575561,0.24306397054705808,0.24961803834689827
qsampled,81,0.2700208824350607,0.1253193961778648,0.26456917951745956,0.2754725853526619
runif,81,0.4527562777535659,0.15502488353943458,0.4466927727312655,0.4588197827758663
m2,81,0.3294069712250869,0.1395789444069411,0.3236534596715932,0.33516048277858046
actual,81,0.24725762369864754,0.1202296475916551,0.24398617258592403,0.25052907481137127
qsampled,82,0.26971242285932107,0.12540267240643743,0.2642922689597929,0.2751325767588492
runif,82,0.45473139277439645,0.15558880730740238,0.44869402825651733,0.46076875729227545
m2,82,0.3303266318353939,0.1402039850089455,0.3245955263629207,0.3360577373078672
actual,82,0.24693806388443168,0.1202257452724175,0.24367508567122856,0.25020104209763455
qsampled,83,0.26924403077265147,0.12550063047493482,0.2638545283713736,0.27463353317392936
runif,83,0.4543960332306157,0.15560878662040728,0.44839476865051114,0.4603972978107202
m2,83,0.3287654418524117,0.1405060813107008,0.32306283703338423,0.33446804667143903
actual,83,0.2468921877090905,0.1202150762276486,0.2436304444143601,0.2501539310038209
qsampled,84,0.26998120380316937,0.12525848752277385,0.2646290532210133,0.2753333543853254
runif,84,0.4540350529061218,0.15519692166291757,0.4480775221450219,0.4599925836672217
m2,84,0.3293517647107489,0.13996592045360876,0.32369411709194373,0.33500941232955406
actual,84,0.24714920199770485,0.11988497712416847,0.24390621589756292,0.25039218809784675
qsampled,85,0.269106837743331,0.1228831483185282,0.2638369578300065,0.2743767176566554
